Designator,Mid X,Mid Y,Rotation,Layer
C53,224.629,239.5658,61.875,top
C54,194.3681,254.31,65.625,top
C55,163.2077,267.0436,69.375,top
C56,131.2811,277.7118,73.125,top
C57,98.7252,286.2692,76.875,top
C58,65.6794,292.6789,80.625,top
C59,32.2851,296.9138,84.375,top
C6,70.1863,45.3757,71.25,top
C60,-1.3147,298.9553,88.125,top
C61,-2.312,328.9915,88.333,top
C62,29.3102,327.2925,85.0,top
C63,60.78,323.7576,81.667,top
C64,91.9911,318.399,78.333,top
C65,122.8378,311.2347,75.0,top
C66,153.2157,302.2889,71.667,top
C67,183.0222,291.5919,68.333,top
C68,212.1562,279.1799,65.0,top
C69,240.5191,265.095,61.667,top
C7,35.4331,54.356,78.75,top
C70,254.7572,291.501,61.667,top
C71,224.8348,306.3692,65.0,top
C72,194.0984,319.4723,68.333,top
C73,162.6521,330.7661,71.667,top
C74,130.6024,340.2125,75.0,top
C75,98.0577,347.7792,78.333,top
C76,65.1279,353.4409,81.667,top
C77,31.9248,357.1783,85.0,top
C78,-1.4395,358.9788,88.333,top
C79,-2.3246,389.0075,88.5,top
C8,-0.1949,58.7233,86.25,top
C80,29.2815,387.4796,85.5,top
C81,60.7643,384.2996,82.5,top
C82,92.0375,379.4763,79.5,top
C83,123.0154,373.0229,76.5,top
C84,153.6131,364.957,73.5,top
C85,183.7467,355.3008,70.5,top
C86,213.3336,344.0809,67.5,top
C87,242.2928,331.3278,64.5,top
C88,270.5449,317.0766,61.5,top
C89,284.8597,343.4411,61.5,top
C9,-2.2124,88.8616,87.0,top
C90,255.2081,358.4054,64.5,top
C91,224.8141,371.7972,67.5,top
C92,193.7609,383.5801,70.5,top
C93,162.1335,393.7216,73.5,top
C94,130.0187,402.194,76.5,top
C95,97.5045,408.9739,79.5,top
C96,64.6801,414.0429,82.5,top
C97,31.6353,417.3872,85.5,top
C98,-1.5393,418.9973,88.5,top
C99,-2.3349,449.0207,88.636,top
LED1,0.0,24.2367,356.25,top
LED10,31.2336,81.057,351.0,top
LED100,31.3871,443.0689,355.909,top
LED101,62.6578,440.0829,353.182,top
LED102,93.7511,435.6124,350.455,top
LED103,124.5963,429.6675,347.727,top
LED104,155.1238,422.2616,345.0,top
LED105,185.2643,413.4115,342.273,top
LED106,214.9496,403.1374,339.545,top
LED107,244.1124,391.4623,336.818,top
LED108,272.6866,378.4129,334.091,top
LED109,300.6076,364.0187,331.364,top
LED11,61.949,74.5283,345.0,top
LED12,91.8136,64.8247,339.0,top
LED13,120.5004,52.0525,333.0,top
LED14,134.1201,78.7827,333.0,top
LED15,102.5647,92.8321,339.0,top
LED16,69.7135,103.5061,345.0,top
LED17,35.9266,110.6877,351.0,top
LED18,1.5741,114.2983,357.0,top
LED19,0.0062,144.4079,357.5,top
LED2,31.1249,20.139,348.75,top
LED20,31.2927,141.6707,352.5,top
LED21,62.2215,136.2171,347.5,top
LED22,92.5573,128.0886,342.5,top
LED23,122.0693,117.3472,337.5,top
LED24,150.5327,104.0744,332.5,top
LED25,164.3852,130.6848,332.5,top
LED26,133.5498,145.0636,337.5,top
LED27,101.5785,156.7002,342.5,top
LED28,68.7147,165.506,347.5,top
LED29,35.2085,171.414,352.5,top
LED3,61.4487,12.0138,341.25,top
LED30,1.3148,174.3793,357.5,top
LED31,0.0076,204.4568,357.857,top
LED32,31.3283,202.1097,353.571,top
LED33,62.3861,197.4285,349.286,top
LED34,93.0072,190.4394,345.0,top
LED35,123.0205,181.1815,340.714,top
LED36,152.2579,169.7067,336.429,top
LED37,180.5561,156.079,332.143,top
LED38,194.5741,182.6025,332.143,top
LED39,164.2547,197.2036,336.429,top
LED4,90.4525,0.0,333.75,top
LED40,132.9288,209.498,340.714,top
LED41,100.7718,219.4172,345.0,top
LED42,67.9635,226.9055,349.286,top
LED43,34.6873,231.921,353.571,top
LED44,1.1293,234.4359,357.857,top
LED45,0.0084,264.4935,358.125,top
LED46,31.3515,262.4392,354.375,top
LED47,62.4931,258.3393,350.625,top
LED48,93.2999,252.2115,346.875,top
LED49,123.6399,244.0819,343.125,top
LED5,103.7212,26.9062,333.75,top
LED50,153.3833,233.9854,339.375,top
LED51,182.4026,221.9652,335.625,top
LED52,210.5737,208.0727,331.875,top
LED53,224.7156,234.5304,331.875,top
LED54,194.7838,249.2911,335.625,top
LED55,163.9508,262.0626,339.375,top
LED56,132.3484,272.7901,343.125,top
LED57,100.1121,281.4278,346.875,top
LED58,67.3799,287.9386,350.625,top
LED59,34.292,292.2948,354.375,top
LED6,71.0919,40.4217,341.25,top
LED60,0.99,294.4775,358.125,top
LED61,0.009,324.5221,358.333,top
LED62,31.3674,322.6957,355.0,top
LED63,62.5665,319.049,351.667,top
LED64,93.5007,313.5945,348.333,top
LED65,124.0655,306.3505,345.0,top
LED66,154.1574,297.3416,341.667,top
LED67,183.6746,286.5982,338.333,top
LED68,212.5171,274.1567,335.0,top
LED69,240.5874,260.0593,331.667,top
LED7,36.9776,49.5626,348.75,top
LED70,254.8255,286.4653,331.667,top
